,term,score
0,donativo,11.640563131210074
1,scudi,11.06512153570828
2,cavallieri,10.254268770090183
3,100,9.193012267965841
4,signorie,8.677354049361643
5,illustrissime,8.588450524219976
6,de,6.971190227571904
7,delli,6.844772585613333
8,advenire,6.736572297479192
9,adempire,6.736572297479192
10,155,6.736572297479192
11,bestiame,6.736572297479192
12,computato,6.736572297479192
13,cognoscer,6.736572297479192
14,montò,6.736572297479192
15,sborsai,6.736572297479192
16,sacro,6.331107189371028
17,nasi,6.331107189371028
18,intenderanno,6.331107189371028
19,raguagliate,6.331107189371028
20,lodarmi,6.331107189371028
21,felicissime,6.043425116919247
22,55,6.043425116919247
23,appieno,5.820281565605037
24,fattomi,5.637960008811082
25,ringraziare,5.637960008811082
26,possuto,5.483809328983824
27,comandino,5.483809328983824
28,passelli,5.350277936359301
29,vostre,5.2678578648847925
30,contratto,5.232494900702918
31,xxii,5.232494900702918
32,dirle,5.232494900702918
33,umiltà,5.127134385045092
34,finisco,5.031824205240767
35,hanno,5.004931585763865
36,signore,4.933749695558459
37,saggio,4.8647701205776
38,negozii,4.8647701205776
39,sommamente,4.790662148423879
40,operare,4.721669276936927
41,magnifici,4.539347720142972
42,sacra,4.385197040315714
43,1569,4.3386770246808215
44,spese,4.3386770246808215
45,illustrissimi,4.294225262109988
46,amorevolezza,4.062423648052663
47,fece,4.028522096376982
48,cotesta,3.933211916572657
49,bascio,3.933211916572657
50,conservi,3.903358953422976
51,appresso,3.740840023925201
52,ringrazio,3.740840023925201
53,lionardo,3.6685193623455747
54,saranno,3.645529844120876
55,ottobre,3.645529844120876
56,consiglio,3.601078081550042
57,stefano,3.601078081550042
58,amore,3.5795718763290787
59,fede,3.5378991799285107
60,mia,3.5335179958063825
61,somma,3.47847575945771
62,religione,3.4594275644870156
63,diligenzia,3.4407354314748626
64,tal,3.4223862928066664
65,volentieri,3.4223862928066664
66,obligatissimo,3.302585092994046
67,visto,3.2553322081435003
68,signori,3.167039600997822
69,fatiche,3.0602716255721156
70,santo,2.9638113593845534
71,nuovo,2.918859971522287
72,vostri,2.8758425864385964
73,medesimo,2.804746664754866
74,illustrissimo,2.804746664754866
75,sempre,2.7949904898095017
76,mani,2.76628038392707
77,gli,2.727222775870779
78,come,2.717963500073295
79,allo,2.7112206067440425
80,solo,2.6675455432413813
81,posso,2.650595984927608
82,conto,2.5097385522110125
83,dal,2.412439641224213
84,farò,2.4058389571928607
85,pisa,2.386294361119891
86,quelle,2.329853050214939
87,loro,2.1774460499925077
88,nostro,2.15160481880862
89,però,2.027042096166858
90,nel,2.0047694605577346
91,quella,1.8093186123219873
92,delle,1.7598385550586175
93,servitore,1.7427441216993174
