,term,score
0,iulio,12.662214378742055
1,giudicassi,12.662214378742055
2,potria,9.889625656502274
3,papa,9.105810970100094
4,signoria,8.107884940293467
5,donar,6.736572297479192
6,negoziai,6.736572297479192
7,apiccatomi,6.736572297479192
8,cet,6.736572297479192
9,satisfacciate,6.736572297479192
10,reputerei,6.736572297479192
11,vitellozzo,6.736572297479192
12,baldassarri,6.736572297479192
13,servì,6.331107189371028
14,inpedir,6.331107189371028
15,volessino,6.331107189371028
16,scrivo,6.251308769669935
17,ciò,6.171828112370907
18,caraffa,6.043425116919247
19,contento,5.9978053583916475
20,palazzo,5.904765327121861
21,presti,5.820281565605037
22,desiderano,5.637960008811082
23,scudi,5.53256076785414
24,mdlviii,5.483809328983824
25,bisogniando,5.031824205240767
26,dieno,5.031824205240767
27,occupazioni,4.944812828251137
28,figliolo,4.8647701205776
29,chiesto,4.721669276936927
30,parenti,4.657130755799356
31,dugento,4.657130755799356
32,adunque,4.5965061339829205
33,atendo,4.539347720142972
34,200,4.539347720142972
35,pagato,4.433987204485146
36,scriver,4.294225262109988
37,furono,4.251665647691191
38,sarei,4.097514967863933
39,gli,4.090834163806169
40,arebbe,3.995732273553991
41,stesso,3.933211916572657
42,buonarroti,3.903358953422976
43,spesso,3.903358953422976
44,poi,3.8898450890969647
45,ora,3.8406622828223203
46,comandi,3.818801565394913
47,observandissimo,3.818801565394913
48,feci,3.818801565394913
49,febraio,3.7921333183127515
50,duca,3.7690840671191497
51,xii,3.716147411334829
52,favore,3.716147411334829
53,michelagniolo,3.6685193623455747
54,iddio,3.6230569882688175
55,aiuti,3.601078081550042
56,vole,3.4978938453148114
57,servitore,3.4854882433986347
58,disse,3.47847575945771
59,tanta,3.4594275644870156
60,certe,3.4223862928066664
61,opere,3.4223862928066664
62,caso,3.404367787303988
63,reverendissimo,3.3866682102045873
64,sapere,3.369276467492718
65,servire,3.352182034133418
66,presente,3.302585092994046
67,quel,3.2979519244936157
68,tanti,3.270836394679465
69,piace,3.2553322081435003
70,arete,3.240064736012712
71,mandato,3.2102117728630306
72,fiorenza,3.20154772085786
73,seco,3.181224235989778
74,siena,3.167039600997822
75,occorre,3.112231364502827
76,cardinale,3.0859140561854534
77,voluto,3.0859140561854534
78,parole,3.0230002307748842
79,tavola,2.987068221548821
80,niente,2.9753721817856293
81,alli,2.937428276831728
82,ché,2.8971199848858813
83,ne,2.8915663947038936
84,vostri,2.8758425864385964
85,all,2.8550084995357548
86,magnifico,2.769428328006251
87,avessi,2.7201892767268028
88,vita,2.693521029644642
89,molte,2.693521029644642
90,avere,2.6761292869327726
91,via,2.6339289324423962
92,vostre,2.6339289324423962
93,amici,2.6175351226667196
94,essere,2.57768921411952
95,scritto,2.5621850275835545
96,ben,2.5469175554527665
97,conto,2.5097385522110125
98,hanno,2.5024657928819325
99,fussi,2.432507204275022
100,pisa,2.386294361119891
101,col,2.3671244450121707
102,aver,2.335969277232375
103,dire,2.311725665622382
104,sopra,2.2706641788246085
105,ancora,2.0091844787668514
106,quando,1.991640169115942
107,roma,1.9701339638949782
108,qui,1.8728914163395995
109,quella,1.8093186123219873
110,mia,1.7667589979031912
111,sono,1.6676680952589604
112,voi,1.6645283752542928
113,alla,1.5463970895508583
114,questa,1.527086144637771
115,me,1.500130334649243
116,un,1.4921832729567108
117,altro,1.4895482253187058
118,lo,1.4790769254514102
119,tutto,1.468714138415864
120,messer,1.4111262635429025
121,signor,1.3752801317697667
122,della,1.3636113879353895
123,possibil,0.0
124,possesso,0.0
125,possibile,0.0
126,possibili,0.0
127,potevo,0.0
128,possiede,0.0
129,possin,0.0
130,poson,0.0
131,positure,0.0
132,possino,0.0
133,positis,0.0
134,possibilità,0.0
135,potevi,0.0
136,posposto,0.0
137,possiate,0.0
138,possiano,0.0
139,possiamo,0.0
140,possessione,0.0
141,poss,0.0
142,possa,0.0
143,possano,0.0
144,possem,0.0
145,possi,0.0
146,potevansi,0.0
147,possendo,0.0
148,possete,0.0
149,posser,0.0
150,posso,0.0
151,posservi,0.0
152,potessero,0.0
153,potevano,0.0
154,potergli,0.0
155,potesti,0.0
156,poteste,0.0
157,potenza,0.0
158,potenzia,0.0
159,potessino,0.0
160,potenzie,0.0
161,poter,0.0
162,poteranno,0.0
163,potere,0.0
164,poterete,0.0
165,potessin,0.0
166,poteria,0.0
167,potentati,0.0
168,poterla,0.0
169,potessimo,0.0
170,poterle,0.0
171,poterlo,0.0
172,poterne,0.0
173,potessi,0.0
174,potersi,0.0
175,poterunt,0.0
176,potervi,0.0
177,poterà,0.0
178,poterò,0.0
179,potentia,0.0
180,potestà,0.0
181,posson,0.0
182,posterità,0.0
183,possono,0.0
184,poteva,0.0
185,possute,0.0
186,possuto,0.0
187,potettono,0.0
188,potetti,0.0
189,post,0.0
190,posta,0.0
191,poste,0.0
192,postea,0.0
193,posteri,0.0
194,posti,0.0
195,potendovi,0.0
196,potesse,0.0
197,posto,0.0
198,postovi,0.0
199,postquam,0.0
200,potea,0.0
201,potei,0.0
202,potendo,0.0
203,potette,0.0
204,potendola,0.0
205,posibile,0.0
206,potete,0.0
207,posticcio,0.0
208,10,0.0
209,posiate,0.0
210,porfidi,0.0
211,porgermi,0.0
212,porger,0.0
213,porge,0.0
214,porgano,0.0
215,porga,0.0
216,porfido,0.0
217,poretta,0.0
218,porcellane,0.0
219,poresti,0.0
220,porebbe,0.0
221,pordenone,0.0
222,porco,0.0
223,porcili,0.0
224,porci,0.0
225,porgerà,0.0
226,porgesse,0.0
227,porgessi,0.0
228,porgessino,0.0
