,term,score
0,nisgii,10.700555872718603
1,canpanile,9.7295402411552
2,altezza,8.789729423126618
3,observandissimi,8.770394080631428
4,illustrissimi,8.588450524219976
5,quelle,6.9895591506448165
6,religione,6.918855128974031
7,miei,6.738552934985436
8,scanalate,6.736572297479192
9,allogheranno,6.736572297479192
10,mandalle,6.736572297479192
11,signori,6.334079201995644
12,oferirmi,6.331107189371028
13,disegniati,6.331107189371028
14,avisassi,6.331107189371028
15,disegnio,6.306106718046164
16,mosterrò,6.043425116919247
17,desidererei,6.043425116919247
18,rifar,6.043425116919247
19,gori,6.043425116919247
20,rimase,5.820281565605037
21,felicemente,5.483809328983824
22,stoco,5.350277936359301
23,ottenuto,5.350277936359301
24,mischio,5.127134385045092
25,sieda,5.031824205240767
26,riputazione,5.031824205240767
27,quanta,4.944812828251137
28,maestro,4.838168367885763
29,coro,4.657130755799356
30,saran,4.5965061339829205
31,colonne,4.539347720142972
32,50,4.485280498872697
33,sacra,4.385197040315714
34,1569,4.3386770246808215
35,fiore,4.294225262109988
36,illustrissime,4.294225262109988
37,fa,4.252829139960124
38,misure,4.251665647691191
39,pagare,4.1338826120348084
40,essi,4.1338826120348084
41,cavalieri,4.1338826120348084
42,marmo,4.097514967863933
43,gli,4.090834163806169
44,gran,4.072183863373551
45,copia,4.062423648052663
46,buone,3.995732273553991
47,conservi,3.903358953422976
48,ornamenti,3.846200539583027
49,duca,3.7690840671191497
50,domani,3.766157831909491
51,xii,3.716147411334829
52,tavole,3.716147411334829
53,meco,3.692049859755769
54,maria,3.6685193623455747
55,stefano,3.601078081550042
56,ornamento,3.601078081550042
57,consiglio,3.601078081550042
58,dirli,3.4594275644870156
59,otto,3.4407354314748626
60,gennaio,3.4223862928066664
61,tal,3.4223862928066664
62,sapere,3.369276467492718
63,sono,3.335336190517921
64,vanno,3.3188456138658258
65,dà,3.2865847516476046
66,mandi,3.225026858648171
67,mandato,3.2102117728630306
68,scrissi,3.153053359023082
69,occasione,3.153053359023082
70,fate,3.112231364502827
71,servizio,3.0476928433652555
72,intorno,2.9989026791958238
73,altro,2.9790964506374116
74,santo,2.9638113593845534
75,nuovo,2.918859971522287
76,all,2.8550084995357548
77,secondo,2.8345996279045473
78,santa,2.814598961197878
79,scudi,2.76628038392707
80,tenpo,2.7383715958099932
81,della,2.727222775870779
82,auto,2.7023316593267968
83,el,2.6675455432413813
84,posso,2.650595984927608
85,possa,2.625698433305881
86,avendo,2.5545221548379855
87,cavalier,2.5318796780882256
88,acciò,2.524444699600708
89,conto,2.5097385522110125
90,signore,2.4668748477792297
91,fussi,2.432507204275022
92,dell,2.425773172093678
93,pisa,2.386294361119891
94,giovanni,2.35454566280531
95,dire,2.311725665622382
96,loro,2.1774460499925077
97,nostro,2.15160481880862
98,ch,2.0921813983378192
99,già,2.0921813983378192
100,fine,2.0452244152500483
101,però,2.027042096166858
102,dì,2.013619075834717
103,delle,1.7598385550586175
104,suo,1.74954686902207
105,servitore,1.7427441216993174
106,fatto,1.680326492130884
107,dio,1.6676680952589604
108,ci,1.6428220966724294
109,signoria,1.6215769880586934
110,fiorenza,1.60077386042893
111,cosa,1.5949087409765321
112,ma,1.5408415197062564
113,lo,1.4790769254514102
114,alli,1.468714138415864
115,ne,1.4457831973519468
116,sua,1.4307829160924543
117,come,1.3589817500366475
118,possin,0.0
119,potran,0.0
120,possiate,0.0
121,possi,0.0
122,possiamo,0.0
123,possessione,0.0
124,possibil,0.0
125,possete,0.0
126,posservi,0.0
127,potrai,0.0
128,possibile,0.0
129,possiano,0.0
130,possibili,0.0
131,possibilità,0.0
132,possiede,0.0
133,possano,0.0
134,posson,0.0
135,possem,0.0
136,possendo,0.0
137,possino,0.0
138,posser,0.0
139,possesso,0.0
140,potiate,0.0
141,possono,0.0
142,potergli,0.0
143,poterla,0.0
144,poterle,0.0
145,poterlo,0.0
146,poterne,0.0
147,potersi,0.0
148,poterunt,0.0
149,potervi,0.0
150,poterà,0.0
151,poterò,0.0
152,potesse,0.0
153,potessero,0.0
154,potessi,0.0
155,potessimo,0.0
156,potessin,0.0
157,potessino,0.0
158,poteste,0.0
159,potesti,0.0
160,potestà,0.0
161,potete,0.0
162,potette,0.0
163,potiri,0.0
164,potetti,0.0
165,potettono,0.0
166,poteva,0.0
167,potevano,0.0
168,potevansi,0.0
169,potevi,0.0
170,poteria,0.0
171,poterete,0.0
172,possute,0.0
173,potere,0.0
174,possuto,0.0
175,post,0.0
176,posta,0.0
177,poste,0.0
178,potra,0.0
179,postea,0.0
180,posteri,0.0
181,potiuntur,0.0
182,posterità,0.0
183,posti,0.0
184,posticcio,0.0
185,posto,0.0
186,postovi,0.0
187,potevo,0.0
188,potea,0.0
189,potei,0.0
190,potendo,0.0
191,potendola,0.0
192,potendovi,0.0
193,poss,0.0
194,potentati,0.0
195,potentia,0.0
196,potenza,0.0
197,potenzia,0.0
198,potenzie,0.0
199,poter,0.0
200,poteranno,0.0
201,postquam,0.0
202,posare,0.0
203,posposto,0.0
204,porge,0.0
205,porgessino,0.0
206,porgessi,0.0
207,porgesse,0.0
208,porgerà,0.0
209,porgermi,0.0
210,porger,0.0
211,porgano,0.0
212,porgli,0.0
213,porga,0.0
214,porfido,0.0
215,porfidi,0.0
216,poretta,0.0
217,poresti,0.0
218,porebbe,0.0
219,porgie,0.0
220,porgo,0.0
221,poson,0.0
222,porta,0.0
223,portar,0.0
224,portano,0.0
225,portando,0.0
226,portai,0.0
227,portae,0.0
228,portaci,0.0
229,porsi,0.0
230,porian,0.0
231,porse,0.0
232,porrei,0.0
233,porre,0.0
234,pormi,0.0
235,porlo,0.0
236,porla,0.0
237,pordenone,0.0
238,porco,0.0
239,porcili,0.0
240,pontefici,0.0
241,pontificatus,0.0
242,pontificato,0.0
243,pontificalissima,0.0
244,pontificali,0.0
245,pontificale,0.0
246,ponti,0.0
247,pontefice,0.0
248,porci,0.0
249,ponte,0.0
250,pontata,0.0
251,pont,0.0
252,ponpa,0.0
253,poniate,0.0
254,poni,0.0
255,pontificia,0.0
256,pontt,0.0
257,popiano,0.0
258,popolaccio,0.0
259,popoletto,0.0
260,popoli,0.0
261,popolo,0.0
262,poponi,0.0
263,poppa,0.0
264,poppe,0.0
265,poppi,0.0
266,poppiano,0.0
267,populi,0.0
268,populo,0.0
269,por,0.0
270,porcellane,0.0
271,porcellina,0.0
272,portare,0.0
273,portarebbe,0.0
274,portarlo,0.0
275,posa,0.0
276,posari,0.0
277,posarerete,0.0
278,potrano,0.0
279,posar,0.0
280,posano,0.0
281,posando,0.0
282,pos,0.0
283,portogallo,0.0
284,porzione,0.0
285,porvi,0.0
286,porvele,0.0
287,portò,0.0
288,portovi,0.0
289,portono,0.0
290,posarsi,0.0
291,posassi,0.0
292,posassino,0.0
293,posate,0.0
294,posati,0.0
295,posato,0.0
296,posatura,0.0
297,posava,0.0
298,poscritta,0.0
299,posdomani,0.0
300,pose,0.0
301,poseremo,0.0
302,posi,0.0
303,posiate,0.0
304,posibile,0.0
305,positis,0.0
306,positure,0.0
307,portogalo,0.0
308,porto,0.0
309,portarne,0.0
310,portata,0.0
311,portator,0.0
312,portatomi,0.0
313,portato,0.0
314,portati,0.0
315,portateci,0.0
316,portate,0.0
317,portassino,0.0
318,portiere,0.0
319,portassi,0.0
320,portasse,0.0
321,portasi,0.0
322,portarvi,0.0
323,portarono,0.0
324,portaron,0.0
325,portava,0.0
326,porte,0.0
327,porteranno,0.0
328,porterano,0.0
329,portercole,0.0
330,porterebbano,0.0
331,porterete,0.0
332,portero,0.0
333,porterolle,0.0
334,porterà,0.0
335,porterò,0.0
336,porti,0.0
337,portiano,0.0
338,portiate,0.0
339,porticciuola,0.0
340,porticelle,0.0
341,portico,0.0
342,potranno,0.0
343,potrieno,0.0
344,potrassi,0.0
345,preso,0.0
346,prestarmi,0.0
347,prestare,0.0
348,presta,0.0
349,presso,0.0
350,pressa,0.0
351,presono,0.0
352,presidente,0.0
353,prestava,0.0
354,presi,0.0
355,preservi,0.0
356,preservati,0.0
357,preservarvi,0.0
358,preservarcelo,0.0
359,preservallo,0.0
