Sanga,VasariC,Giambullari,Ghiberti,Minerbetti,Vasari,Borghini,Bartoli
padrone,dicenbre,dovevate,anguli,visiterò,legniame,voce,procaccio
xviii,corto,scioperare,diametro,attorno,fonte,dentro,conforto
avanti,favori,incommodo,ueramente,creato,atteso,gusto,martello
1567,grazie,proemio,doue,sottile,gniene,colui,tu
eccellenze,osservandissimo,gagliarda,minore,iudizio,accademia,scriver,volessi
montalvo,farmi,sperarne,ueduta,vescovado,elle,parlare,moneta
giugno,volse,lasciava,distintiua,sedie,gennaio,beni,pazienzia
centocinquanta,famiglia,osservato,latitudine,importanza,cominciato,architettore,alessandro
sopratutto,pronto,lenzoni,intentioni,risponder,invenzione,discorso,forteza
fornito,giornata,perdute,diuersi,tornate,dreto,bronzino,avessino
tovaglia,allora,esempio,insino,certi,maiano,pensavo,fiammingo
volsuto,cesare,todeschi,diametri,prometto,mura,sadisfazione,inverno
recapito,finestre,1551,qualitä,onorando,salvo,commodo,oramai
raporto,sian,legature,stremitä,giudicio,cioè,protonotario,talvolta
valentomo,manchi,cacciata,stende,ragionamento,statue,verbi,serenissimi
spedito,obligo,vinegia,ra,fastidio,inpresa,piglar,regno
pensare,vorrei,riuscire,oppositione,onor,satisfatto,accommodare,mandano
aspetta,perpetuo,stampatori,spatio,volevo,degni,considerazione,gamba
saria,mostro,comunque,consimile,miglior,1563,venuta,lato
bisognio,faranno,pp,linie,mala,leone,bontà,tempi
amorevolezza,tavole,persuadetevi,abbiamo,parer,facende,pensate,vivete
velo,piano,dotta,acqua,cosimo,ire,avevi,servirvi
servitori,cartoni,disperare,rispetto,vorrei,guidi,spirito,bello
atenda,iersera,sarammi,statua,affatto,avisi,dietro,bontà
servirò,eccelentissimo,tavolette,longitudine,contenteza,bontà,pezzo,1569
voluntà,direte,opra,änno,fregio,condotto,reverendissimo,1570
elezione,bascio,vedersi,ua,diciate,crocie,volessi,dunque
putto,domattina,stringo,certamente,finché,insiemi,qualità,simili
devo,otta,lodarmi,manifesta,ragionar,farlo,direte,vedrete
brevi,proveditore,occorrente,auere,tornerete,comandi,aresti,crediatemi
ocorre,partire,frasca,indiuiduo,cui,1564,ire,dimostrare
remedio,1562,disagi,uera,ciborio,benissimo,intenzione,speziale
