,term,score
0,stasera,12.187270944157989
1,tuto,12.086850233838494
2,martedì,9.314261511598712
3,aviano,8.421687306341873
4,poggio,7.806717906845952
5,antonio,7.035392945221982
6,montalvo,7.035392945221982
7,doi,6.736572297479192
8,risolviano,6.736572297479192
9,vengiate,6.736572297479192
10,arciservitore,6.736572297479192
11,bracche,6.736572297479192
12,pogio,6.736572297479192
13,ascoltati,6.736572297479192
14,grattarsi,6.736572297479192
15,ocupazioni,6.736572297479192
16,canpi,6.736572297479192
17,cicalereno,6.736572297479192
18,mandiano,6.736572297479192
19,pancia,6.736572297479192
20,persino,6.736572297479192
21,domandasera,6.736572297479192
22,copier,6.736572297479192
23,ordine,6.677138372887025
24,ci,6.571288386689718
25,note,6.331107189371028
26,volentier,6.331107189371028
27,basciarvi,6.331107189371028
28,tuti,6.331107189371028
29,andiamo,6.331107189371028
30,studi,6.043425116919247
31,caccia,5.820281565605037
32,ale,5.820281565605037
33,ora,5.76099342423348
34,possiano,5.637960008811082
35,signor,5.501120527079067
36,saremo,5.483809328983824
37,inbasciator,5.483809328983824
38,campi,5.483809328983824
39,mane,5.350277936359301
40,potremo,5.350277936359301
41,venite,5.232494900702918
42,perder,5.232494900702918
43,hano,5.031824205240767
44,boca,4.8647701205776
45,negoziare,4.790662148423879
46,mezza,4.657130755799356
47,paia,4.539347720142972
48,potendo,4.539347720142972
49,vostro,4.524423175185965
50,andassi,4.485280498872697
51,eccellenza,4.262804222982201
52,posta,4.251665647691191
53,domenica,4.251665647691191
54,costì,4.0904488305000966
55,domattina,3.995732273553991
56,12,3.9639835752394106
57,bascio,3.933211916572657
58,sera,3.933211916572657
59,no,3.903358953422976
60,settembre,3.846200539583027
61,observandissimo,3.818801565394913
62,sento,3.7921333183127515
63,domani,3.766157831909491
64,ore,3.740840023925201
65,1563,3.716147411334829
66,sarete,3.692049859755769
67,stefano,3.601078081550042
68,inperò,3.5585184671312464
69,religione,3.4594275644870156
70,farete,3.404367787303988
71,signoria,3.243153976117387
72,mandi,3.225026858648171
73,proposito,3.2102117728630306
74,cioè,3.195612973441878
75,star,3.195612973441878
76,storie,3.153053359023082
77,servizio,3.0476928433652555
78,veggo,2.9638113593845534
79,santo,2.9638113593845534
80,venire,2.9299098077088725
81,molti,2.918859971522287
82,bisognio,2.907930900990097
83,nocenti,2.8971199848858813
84,sua,2.8615658321849087
85,dice,2.8345996279045473
86,pare,2.8345996279045473
87,buon,2.8245492920510458
88,messer,2.822252527085805
89,de,2.7884760910287616
90,magnifico,2.769428328006251
91,mani,2.76628038392707
92,noi,2.756890643577231
93,tenpo,2.7383715958099932
94,della,2.727222775870779
95,auto,2.7023316593267968
96,via,2.6339289324423962
97,vincenzo,2.6175351226667196
98,spedalingo,2.5934375710876596
99,fino,2.4529857356185625
100,dal,2.412439641224213
101,don,2.4058389571928607
102,farò,2.4058389571928607
103,sala,2.386294361119891
104,col,2.3671244450121707
105,intanto,2.3671244450121707
106,anche,2.3483151130546744
107,qua,2.3237740041385564
108,dire,2.311725665622382
109,modo,2.311725665622382
110,esser,2.264933504115623
111,assai,2.203972804325936
112,lui,2.1932775152091883
113,stato,2.1932775152091883
114,poco,2.146515749301149
115,fine,2.0452244152500483
116,quando,1.991640169115942
117,poi,1.9449225445484823
118,delle,1.7598385550586175
119,sarà,1.6676680952589604
120,voi,1.6645283752542928
121,bene,1.6336617272737652
122,fiorenza,1.60077386042893
123,alla,1.5463970895508583
124,ma,1.5408415197062564
125,questa,1.527086144637771
126,me,1.500130334649243
127,alli,1.468714138415864
128,questo,1.3918485581169995
129,gli,1.3636113879353895
130,potesti,0.0
131,possem,0.0
132,poteste,0.0
133,potessino,0.0
134,possendo,0.0
135,potete,0.0
136,posser,0.0
137,posservi,0.0
138,possessione,0.0
139,possesso,0.0
140,possete,0.0
141,possi,0.0
142,possiamo,0.0
143,potessin,0.0
144,possiate,0.0
145,potestà,0.0
146,potettono,0.0
147,potette,0.0
148,potetti,0.0
149,potiuntur,0.0
150,potiri,0.0
151,poson,0.0
152,potiate,0.0
153,potevo,0.0
154,potevi,0.0
155,potevansi,0.0
156,potevano,0.0
157,poteva,0.0
158,posposto,0.0
159,poss,0.0
160,possa,0.0
161,possibil,0.0
162,potra,0.0
163,possano,0.0
164,potessimo,0.0
165,potendovi,0.0
166,possibile,0.0
167,potessi,0.0
168,poterle,0.0
169,poterla,0.0
170,posterità,0.0
171,poteria,0.0
172,posti,0.0
173,potergli,0.0
174,poterete,0.0
175,potere,0.0
176,posticcio,0.0
177,posto,0.0
178,postovi,0.0
179,poteranno,0.0
180,poter,0.0
181,postquam,0.0
182,potea,0.0
183,potenzie,0.0
184,potei,0.0
185,potenzia,0.0
186,potendola,0.0
187,potenza,0.0
188,positure,0.0
189,posteri,0.0
190,poterlo,0.0
191,poterne,0.0
192,possono,0.0
193,potentati,0.0
194,possibili,0.0
195,possibilità,0.0
196,possiede,0.0
197,possin,0.0
198,possino,0.0
