,term,score
0,dami,11.640563131210074
1,maestro,7.257252551828644
2,vede,7.035392945221982
3,godello,6.736572297479192
4,finitone,6.736572297479192
5,afrettare,6.736572297479192
6,unto,6.736572297479192
7,massima,6.736572297479192
8,sbatezzeria,6.736572297479192
9,offerendomegli,6.736572297479192
10,asenzia,6.736572297479192
11,riniega,6.736572297479192
12,godiate,6.736572297479192
13,soporterò,6.736572297479192
14,visi,6.331107189371028
15,confitto,6.331107189371028
16,niccolini,6.331107189371028
17,onoratissima,6.331107189371028
18,soporto,6.043425116919247
19,coperti,6.043425116919247
20,cane,5.820281565605037
21,cortese,5.820281565605037
22,arcivescovo,5.820281565605037
23,messer,5.64450505417161
24,raccomanderete,5.637960008811082
25,davit,5.637960008811082
26,carnovale,5.637960008811082
27,goduto,5.483809328983824
28,francesco,5.387042059289284
29,40,5.350277936359301
30,capello,5.350277936359301
31,eccellentia,5.232494900702918
32,presenzia,5.232494900702918
33,comandiate,5.232494900702918
34,virtuoso,5.127134385045092
35,conparso,5.031824205240767
36,dessidero,4.944812828251137
37,busino,4.944812828251137
38,signoria,4.86473096417608
39,parimente,4.790662148423879
40,giovanni,4.70909132561062
41,qualcuno,4.657130755799356
42,venissi,4.385197040315714
43,compagnia,4.3386770246808215
44,partire,4.210843653170937
45,23,4.171622940017656
46,fama,4.171622940017656
47,vicino,4.1338826120348084
48,fine,4.0904488305000966
49,costì,4.0904488305000966
50,afatto,4.028522096376982
51,infinitamente,3.995732273553991
52,bernardo,3.995732273553991
53,dicembre,3.933211916572657
54,scade,3.8743714165497236
55,croce,3.692049859755769
56,quadri,3.6685193623455747
57,verrà,3.645529844120876
58,1564,3.6230569882688175
59,venuta,3.601078081550042
60,venir,3.601078081550042
61,fede,3.5378991799285107
62,tanto,3.5127924217352895
63,proveditor,3.4407354314748626
64,volentieri,3.4223862928066664
65,reverendissimo,3.3866682102045873
66,quasi,3.3866682102045873
67,spero,3.302585092994046
68,solito,3.302585092994046
69,quel,3.2979519244936157
70,or,3.270836394679465
71,bene,3.2673234545475305
72,fiorenza,3.20154772085786
73,fatta,3.167039600997822
74,arà,3.0108788702425393
75,batista,2.9523826635609307
76,caccini,2.9523826635609307
77,nuovo,2.918859971522287
78,dir,2.907930900990097
79,senpre,2.8971199848858813
80,ché,2.8971199848858813
81,santa,2.814598961197878
82,magnifico,2.769428328006251
83,gli,2.727222775870779
84,vedere,2.7112206067440425
85,sta,2.6175351226667196
86,principe,2.601405740736836
87,avendo,2.5545221548379855
88,resto,2.480959587660969
89,fino,2.4529857356185625
90,dal,2.412439641224213
91,pisa,2.386294361119891
92,sì,2.35454566280531
93,anche,2.3483151130546744
94,tutti,2.2312224467733115
95,pur,2.2147837204301517
96,nostro,2.15160481880862
97,poco,2.146515749301149
98,opera,2.1214517806379325
99,già,2.0921813983378192
100,ancora,2.0091844787668514
101,dove,1.9325512527459354
102,quale,1.8923852110206008
103,qui,1.8728914163395995
104,quella,1.8093186123219873
105,suo,1.74954686902207
106,servitore,1.7427441216993174
107,sono,1.6676680952589604
108,ma,1.5408415197062564
109,alli,1.468714138415864
110,sua,1.4307829160924543
111,più,1.420906292596542
112,signor,1.3752801317697667
113,della,1.3636113879353895
114,come,1.3589817500366475
115,potessino,0.0
116,poteste,0.0
117,potessimo,0.0
118,potessin,0.0
119,possesso,0.0
120,posser,0.0
121,potesti,0.0
122,posservi,0.0
123,possem,0.0
124,potessero,0.0
125,possessione,0.0
126,possendo,0.0
127,potessi,0.0
128,poteranno,0.0
129,possano,0.0
130,potestà,0.0
131,posati,0.0
132,poteva,0.0
133,posato,0.0
134,posatura,0.0
135,posava,0.0
136,poscritta,0.0
137,posdomani,0.0
138,pose,0.0
139,poseremo,0.0
140,posi,0.0
141,potettono,0.0
142,potetti,0.0
143,posiate,0.0
144,posibile,0.0
145,positis,0.0
146,positure,0.0
147,possi,0.0
148,poson,0.0
149,posposto,0.0
150,poss,0.0
151,possa,0.0
152,potette,0.0
153,potete,0.0
154,possete,0.0
155,possino,0.0
156,possiamo,0.0
157,possiano,0.0
158,poterle,0.0
159,posterità,0.0
160,posti,0.0
161,posticcio,0.0
162,posassino,0.0
163,posto,0.0
164,postovi,0.0
165,postquam,0.0
166,poterla,0.0
167,poteria,0.0
168,potea,0.0
169,potei,0.0
170,potendo,0.0
171,potendola,0.0
172,potendovi,0.0
173,potentati,0.0
174,potentia,0.0
175,potenza,0.0
176,potergli,0.0
177,potenzia,0.0
178,poterete,0.0
179,potere,0.0
180,potenzie,0.0
181,poterlo,0.0
182,poterne,0.0
183,posteri,0.0
184,poter,0.0
185,potesse,0.0
186,possiate,0.0
187,possibil,0.0
188,possibile,0.0
189,possibili,0.0
190,poterò,0.0
191,possibilità,0.0
192,possiede,0.0
193,poterà,0.0
194,possin,0.0
195,potervi,0.0
196,postea,0.0
197,posso,0.0
198,posson,0.0
199,possono,0.0
200,possute,0.0
201,poterunt,0.0
202,possuto,0.0
203,post,0.0
204,posta,0.0
205,poste,0.0
206,potersi,0.0
207,posate,0.0
208,porterebbano,0.0
209,posassi,0.0
210,porebbe,0.0
211,poponi,0.0
212,poppa,0.0
213,poppe,0.0
214,poppi,0.0
215,poppiano,0.0
216,populi,0.0
217,populo,0.0
218,por,0.0
219,porcellane,0.0
220,porcellina,0.0
221,porci,0.0
222,porcili,0.0
223,porco,0.0
224,pordenone,0.0
225,poresti,0.0
226,popoli,0.0
227,poretta,0.0
228,porfidi,0.0
229,porfido,0.0
230,porga,0.0
231,porgano,0.0
232,porge,0.0
233,porger,0.0
234,porgermi,0.0
235,porgerà,0.0
236,porgesse,0.0
237,porgessi,0.0
238,porgessino,0.0
239,porgie,0.0
240,porgli,0.0
241,popolo,0.0
242,popoletto,0.0
243,porian,0.0
244,poniate,0.0
245,polvaccio,0.0
246,polvere,0.0
247,polverosa,0.0
248,pomi,0.0
249,pomo,0.0
