,term,score
0,ferrara,10.967618657967648
1,aqua,8.867974408970293
2,pezzo,7.806717906845952
3,chioggia,6.736572297479192
4,goderse,6.736572297479192
5,pianoro,6.736572297479192
6,solito,6.605170185988092
7,bastato,6.043425116919247
8,rivederla,5.820281565605037
9,polvere,5.820281565605037
10,eccellentissimo,5.772849391538267
11,illustrissimo,5.609493329509732
12,signor,5.501120527079067
13,notabili,5.483809328983824
14,fiumi,5.127134385045092
15,straco,5.127134385045092
16,resto,4.961919175321938
17,villa,4.8647701205776
18,fiorenza,4.80232158128679
19,27,4.790662148423879
20,senza,4.684246285613506
21,meli,4.657130755799356
22,ragionare,4.5965061339829205
23,viaggio,4.5965061339829205
24,passar,4.5965061339829205
25,arivato,4.539347720142972
26,vista,4.433987204485146
27,almeno,4.433987204485146
28,caldo,4.385197040315714
29,spetto,4.3386770246808215
30,starà,4.210843653170937
31,questo,4.175545674350999
32,oltra,4.1338826120348084
33,so,4.0450954131580374
34,sera,3.933211916572657
35,servilla,3.8743714165497236
36,1566,3.818801565394913
37,iddio,3.6230569882688175
38,venir,3.601078081550042
39,farlo,3.5795718763290787
40,comodità,3.517696472610991
41,desidero,3.4978938453148114
42,dirli,3.4594275644870156
43,aviso,3.3866682102045873
44,obligatissimo,3.302585092994046
45,spero,3.302585092994046
46,sabato,3.225026858648171
47,passato,3.225026858648171
48,punto,3.225026858648171
49,maggio,3.2102117728630306
50,innanzi,3.181224235989778
51,siena,3.167039600997822
52,nuove,3.153053359023082
53,basta,3.112231364502827
54,un,2.9843665459134217
55,voglia,2.8971199848858813
56,più,2.841812585193084
57,buona,2.7201892767268028
58,allo,2.7112206067440425
59,essere,2.57768921411952
60,raccomando,2.5318796780882256
61,sano,2.495245544908445
62,tutte,2.4738924204378767
63,dal,2.412439641224213
64,credo,2.3798634707896005
65,sì,2.35454566280531
66,animo,2.3057554986358784
67,grazia,2.2257127909623415
68,illustrissima,2.1018433092495563
69,fine,2.0452244152500483
70,duca,1.8845420335595748
71,quella,1.8093186123219873
72,servitore,1.7427441216993174
73,fatto,1.680326492130884
74,sono,1.6676680952589604
75,sarà,1.6676680952589604
76,ci,1.6428220966724294
77,signoria,1.6215769880586934
78,cose,1.5689332545732715
79,me,1.500130334649243
80,alli,1.468714138415864
81,de,1.3942380455143808
82,gli,1.3636113879353895
83,possiate,0.0
84,possiano,0.0
85,possibil,0.0
86,positis,0.0
87,posato,0.0
88,posati,0.0
89,possiamo,0.0
90,posate,0.0
91,possibili,0.0
92,posassino,0.0
93,possibilità,0.0
94,poson,0.0
95,posassi,0.0
96,posarsi,0.0
97,possibile,0.0
98,posatura,0.0
99,possi,0.0
100,posser,0.0
101,possano,0.0
102,posibile,0.0
103,posiate,0.0
104,posi,0.0
105,possem,0.0
106,poss,0.0
107,possendo,0.0
108,poseremo,0.0
109,posposto,0.0
110,pose,0.0
111,possete,0.0
112,posdomani,0.0
113,posservi,0.0
114,possessione,0.0
115,possin,0.0
116,positure,0.0
117,poscritta,0.0
118,posava,0.0
119,possesso,0.0
120,possa,0.0
121,possiede,0.0
122,10,0.0
123,possino,0.0
124,posso,0.0
125,poterle,0.0
126,poterlo,0.0
127,poterne,0.0
128,potersi,0.0
129,poterunt,0.0
130,potervi,0.0
131,poterà,0.0
132,poterò,0.0
133,potesse,0.0
134,potessero,0.0
135,potessi,0.0
136,potessimo,0.0
137,potessin,0.0
138,potessino,0.0
139,poteste,0.0
140,potesti,0.0
141,potestà,0.0
142,potete,0.0
143,potette,0.0
144,potetti,0.0
145,potettono,0.0
146,poteva,0.0
147,potevano,0.0
148,potevansi,0.0
149,potevi,0.0
150,potevo,0.0
151,potiate,0.0
152,potiri,0.0
153,potiuntur,0.0
154,poterla,0.0
155,poteria,0.0
156,potergli,0.0
157,postovi,0.0
158,posson,0.0
159,possono,0.0
160,possute,0.0
161,possuto,0.0
162,post,0.0
163,posta,0.0
164,poste,0.0
165,postea,0.0
166,posteri,0.0
167,posterità,0.0
168,posti,0.0
169,posticcio,0.0
170,posto,0.0
171,postquam,0.0
172,poterete,0.0
173,potea,0.0
174,potei,0.0
175,potendo,0.0
176,potendola,0.0
177,potendovi,0.0
178,potentati,0.0
179,potentia,0.0
180,potenza,0.0
181,potenzia,0.0
182,potenzie,0.0
183,poter,0.0
184,poteranno,0.0
185,potere,0.0
186,posari,0.0
187,porticciuola,0.0
188,posarerete,0.0
189,poponi,0.0
190,populo,0.0
191,populi,0.0
192,poppiano,0.0
193,poppi,0.0
194,poppe,0.0
195,poppa,0.0
196,popolo,0.0
197,porcellane,0.0
198,popoli,0.0
199,popoletto,0.0
200,popolaccio,0.0
201,popiano,0.0
202,pontt,0.0
203,pontificia,0.0
204,por,0.0
205,porcellina,0.0
206,porgessi,0.0
207,porfido,0.0
208,porgerà,0.0
209,porgermi,0.0
210,porger,0.0
211,porge,0.0
212,porgano,0.0
213,porga,0.0
214,porfidi,0.0
215,porci,0.0
216,poretta,0.0
217,poresti,0.0
218,porebbe,0.0
219,pordenone,0.0
220,porco,0.0
221,porcili,0.0
222,pontificatus,0.0
223,pontificato,0.0
224,pontificalissima,0.0
225,poltroneggiare,0.0
226,pompa,0.0
227,pomo,0.0
228,pomi,0.0
229,polverosa,0.0
230,polvaccio,0.0
231,poltroneria,0.0
232,polonia,0.0
233,pontificali,0.0
234,polo,0.0
235,polle,0.0
236,polizze,0.0
237,polizza,0.0
238,poliziano,0.0
239,polize,0.0
240,pon,0.0
241,ponderazione,0.0
242,pone,0.0
243,ponendola,0.0
244,ponessi,0.0
245,ponga,0.0
246,ponghino,0.0
247,poni,0.0
248,poniate,0.0
249,ponpa,0.0
250,pont,0.0
251,pontata,0.0
252,ponte,0.0
253,pontefice,0.0
254,pontefici,0.0
255,ponti,0.0
256,pontificale,0.0
257,porgesse,0.0
258,porgessino,0.0
259,posare,0.0
260,portero,0.0
261,portiate,0.0
262,portiano,0.0
263,porti,0.0
264,porterò,0.0
265,porterà,0.0
266,porterolle,0.0
267,porterete,0.0
268,porticelle,0.0
269,porterebbano,0.0
270,portercole,0.0
271,porterano,0.0
272,porteranno,0.0
273,porte,0.0
274,portava,0.0
275,potrai,0.0
276,portico,0.0
277,porgie,0.0
278,porvi,0.0
279,posar,0.0
280,posano,0.0
281,posando,0.0
282,posa,0.0
283,pos,0.0
284,porzione,0.0
285,porvele,0.0
286,portiere,0.0
287,portò,0.0
288,portovi,0.0
289,portono,0.0
290,portogalo,0.0
291,portogallo,0.0
292,porto,0.0
293,portator,0.0
294,portatomi,0.0
295,portato,0.0
296,porrei,0.0
297,portai,0.0
298,portae,0.0
299,portaci,0.0
300,porta,0.0
301,porsi,0.0
302,porse,0.0
303,porre,0.0
304,portati,0.0
305,pormi,0.0
306,porlo,0.0
307,porla,0.0
308,porian,0.0
309,porgo,0.0
310,porgli,0.0
311,portando,0.0
312,portano,0.0
313,portar,0.0
314,portare,0.0
315,portarebbe,0.0
316,portarlo,0.0
317,portarne,0.0
318,portaron,0.0
319,portarono,0.0
320,portarvi,0.0
321,portasi,0.0
322,portasse,0.0
323,portassi,0.0
324,portassino,0.0
325,portata,0.0
326,portate,0.0
327,portateci,0.0
328,potra,0.0
329,potresti,0.0
330,potran,0.0
331,preservati,0.0
332,pressa,0.0
333,presono,0.0
334,preso,0.0
335,presidente,0.0
336,presi,0.0
337,preservi,0.0
338,preservarvi,0.0
339,presta,0.0
340,preservarcelo,0.0
341,preservallo,0.0
342,presenziate,0.0
343,presenzialmente,0.0
344,presenzia,0.0
345,presentò,0.0
346,presso,0.0
347,prestare,0.0
348,preparamenti,0.0
349,presummere,0.0
350,pretaia,0.0
351,presupposto,0.0
352,presupporre,0.0
353,presuppongo,0.0
354,presunzione,0.0
355,presuntuoso,0.0
356,presto,0.0
357,prestarmi,0.0
358,presti,0.0
359,prestezza,0.0
360,presteza,0.0
361,presterrà,0.0
362,prestava,0.0
363,prestato,0.0
364,presento,0.0
365,presentium,0.0
366,presenti,0.0
367,preparati,0.0
368,preparono,0.0
369,preparo,0.0
370,prepari,0.0
371,preparerete,0.0
372,preparazione,0.0
373,preparato,0.0
374,preparatevi,0.0
375,presentes,0.0
376,preparate,0.0
377,prepararsi,0.0
378,prepararmi,0.0
379,preparar,0.0
380,preparano,0.0
381,preparando,0.0
382,presa,0.0
383,presaga,0.0
384,prescia,0.0
385,prese,0.0
386,presentai,0.0
387,presentando,0.0
388,presentaneo,0.0
389,presentar,0.0
390,presentare,0.0
391,presentargnene,0.0
392,presentarla,0.0
393,presentasse,0.0
394,presentassi,0.0
395,presentata,0.0
396,presentato,0.0
397,presente,0.0
398,presenterà,0.0
399,prete,0.0
400,pretende,0.0
401,pretermettere,0.0
402,privare,0.0
403,privi,0.0
404,privato,0.0
405,privati,0.0
406,private,0.0
407,privata,0.0
408,privarmene,0.0
409,pristina,0.0
410,principe,0.0
411,priori,0.0
412,priore,0.0
413,prior,0.0
414,principio,0.0
415,principii,0.0
416,principi,0.0
417,privileggio,0.0
418,privilegi,0.0
419,privilegii,0.0
420,privilegiis,0.0
421,privilegio,0.0
422,privo,0.0
423,pro,0.0
424,probabo,0.0
425,probatica,0.0
426,probitate,0.0
427,procacciare,0.0
428,procacciarmi,0.0
429,procacciate,0.0
430,procacciato,0.0
431,procaccio,0.0
432,proccuramento,0.0
433,proccurano,0.0
434,principessa,0.0
435,principato,0.0
436,preti,0.0
437,preziose,0.0
438,pricissione,0.0
439,prezzo,0.0
440,prezzi,0.0
441,prezo,0.0
442,preziosissime,0.0
443,preziosissima,0.0
444,prevista,0.0
445,principalmente,0.0
446,previlegio,0.0
447,previde,0.0
448,prevego,0.0
449,prevaricando,0.0
450,prevaluto,0.0
451,prevale,0.0
452,prieghi,0.0
453,priego,0.0
454,prigione,0.0
455,prigioni,0.0
456,prigionia,0.0
457,prima,0.0
458,primamente,0.0
459,primaticcio,0.0
460,primavera,0.0
461,prime,0.0
462,primi,0.0
463,primieramente,0.0
464,priminenze,0.0
465,primo,0.0
466,principal,0.0
467,principale,0.0
468,principali,0.0
469,preparamento,0.0
470,prepara,0.0
471,potranno,0.0
472,poveruomo,0.0
