,term,score
0,signori,15.83519800498911
1,magnifici,13.618043160428916
2,pietre,10.675555401393739
3,accio,10.464989801405835
4,deputati,10.063648410481534
5,termini,9.581324296847757
6,observandissimi,8.770394080631428
7,muraglia,8.588450524219976
8,cava,8.421687306341873
9,bisogno,6.995787690629623
10,ordine,6.677138372887025
11,menichini,6.331107189371028
12,defetto,6.331107189371028
13,affezzionatissimo,6.331107189371028
14,inanzi,6.224462729005654
15,valdambrino,6.043425116919247
16,covato,6.043425116919247
17,daranno,6.043425116919247
18,alias,6.043425116919247
19,fabbrica,6.043425116919247
20,allegramente,5.637960008811082
21,terminata,5.637960008811082
22,desiderano,5.637960008811082
23,magnifiche,5.483809328983824
24,fraternita,5.350277936359301
25,cominci,5.350277936359301
26,tiri,5.232494900702918
27,solita,5.232494900702918
28,indietro,5.031824205240767
29,vada,5.031824205240767
30,nove,4.8647701205776
31,quanti,4.8647701205776
32,mettervi,4.790662148423879
33,dalli,4.790662148423879
34,cominciata,4.790662148423879
35,cavare,4.721669276936927
36,altezze,4.539347720142972
37,prudenzia,4.539347720142972
38,seguitare,4.485280498872697
39,loro,4.354892099985015
40,manda,4.3386770246808215
41,fa,4.252829139960124
42,offero,4.210843653170937
43,seguitando,4.171622940017656
44,resti,4.097514967863933
45,della,4.090834163806169
46,mandare,4.062423648052663
47,1573,3.933211916572657
48,uomini,3.6685193623455747
49,agosto,3.601078081550042
50,vegga,3.5795718763290787
51,mia,3.5335179958063825
52,cagione,3.4978938453148114
53,delli,3.4223862928066664
54,quanto,3.341635408323713
55,sendo,3.3353749158170367
56,giudizio,3.3188456138658258
57,signoria,3.243153976117387
58,primo,3.139260036890746
59,occorre,3.112231364502827
60,ciò,3.0859140561854534
61,molti,2.918859971522287
62,dia,2.8345996279045473
63,gli,2.727222775870779
64,francesco,2.693521029644642
65,arezzo,2.6847873496758874
66,oggi,2.6847873496758874
67,possa,2.625698433305881
68,essere,2.57768921411952
69,firenze,2.5545221548379855
70,cavalier,2.5318796780882256
71,raccomando,2.5318796780882256
72,quali,2.495245544908445
73,li,2.2764278835413583
74,assai,2.203972804325936
75,lui,2.1932775152091883
76,prima,2.1826954058786514
77,costì,2.0452244152500483
78,però,2.027042096166858
79,né,2.013619075834717
80,dì,2.013619075834717
81,poi,1.9449225445484823
82,delle,1.7598385550586175
83,bene,1.6336617272737652
84,cosa,1.5949087409765321
85,questa,1.527086144637771
86,vostro,1.5081410583953216
87,me,1.500130334649243
88,altro,1.4895482253187058
89,tutto,1.468714138415864
90,alli,1.468714138415864
91,questo,1.3918485581169995
92,posservi,0.0
93,probitate,0.0
94,procacciare,0.0
95,possessione,0.0
96,possendo,0.0
97,posser,0.0
98,probatica,0.0
99,possem,0.0
100,possano,0.0
101,procacciarmi,0.0
102,possesso,0.0
103,possiamo,0.0
104,possete,0.0
105,possi,0.0
106,posposto,0.0
107,possiano,0.0
108,possiate,0.0
109,possibil,0.0
110,probabo,0.0
111,possibile,0.0
112,possibili,0.0
113,possibilità,0.0
114,possiede,0.0
115,possin,0.0
116,possino,0.0
117,pro,0.0
118,poss,0.0
119,positure,0.0
120,poson,0.0
121,posson,0.0
122,porzione,0.0
123,pos,0.0
124,posa,0.0
125,proccuramento,0.0
126,posando,0.0
127,posano,0.0
128,posar,0.0
129,posare,0.0
130,posarerete,0.0
131,procaccio,0.0
132,posari,0.0
133,posarsi,0.0
134,posassi,0.0
135,posassino,0.0
136,posate,0.0
137,posati,0.0
138,posato,0.0
139,posatura,0.0
140,procacciato,0.0
141,posava,0.0
142,poscritta,0.0
143,posdomani,0.0
144,pose,0.0
145,procacciate,0.0
146,poseremo,0.0
147,posi,0.0
148,posiate,0.0
149,posibile,0.0
150,positis,0.0
151,posso,0.0
152,preziosissime,0.0
153,possono,0.0
154,poteria,0.0
155,poterle,0.0
156,poterlo,0.0
157,poterne,0.0
158,privilegi,0.0
159,potersi,0.0
160,privileggio,0.0
161,poterunt,0.0
162,potervi,0.0
163,poterà,0.0
164,poterò,0.0
165,potesse,0.0
166,potessero,0.0
167,privi,0.0
168,potessi,0.0
169,privato,0.0
170,privati,0.0
171,potessimo,0.0
172,potessin,0.0
173,potessino,0.0
174,poteste,0.0
175,potesti,0.0
176,potestà,0.0
177,potete,0.0
178,potette,0.0
179,private,0.0
180,privata,0.0
181,potetti,0.0
182,potettono,0.0
183,poteva,0.0
184,poterla,0.0
185,potergli,0.0
186,porvi,0.0
187,poterete,0.0
188,possuto,0.0
189,post,0.0
190,privo,0.0
191,posta,0.0
192,poste,0.0
193,postea,0.0
194,posteri,0.0
195,posterità,0.0
196,posti,0.0
197,posticcio,0.0
198,posto,0.0
199,postovi,0.0
200,postquam,0.0
201,potea,0.0
202,potei,0.0
203,potendo,0.0
204,potendola,0.0
205,privilegio,0.0
206,privilegiis,0.0
207,potendovi,0.0
208,potentati,0.0
209,potentia,0.0
210,privilegii,0.0
211,potenza,0.0
212,potenzia,0.0
213,potenzie,0.0
214,poter,0.0
215,poteranno,0.0
216,potere,0.0
217,possute,0.0
218,portovi,0.0
219,porvele,0.0
220,poppe,0.0
221,poppiano,0.0
222,populi,0.0
223,procede,0.0
224,populo,0.0
225,por,0.0
226,proceda,0.0
227,porcellane,0.0
228,proccuriate,0.0
229,porcellina,0.0
230,porci,0.0
231,porcili,0.0
232,porco,0.0
233,pordenone,0.0
234,porebbe,0.0
235,poresti,0.0
236,proccurerò,0.0
237,poretta,0.0
238,porfidi,0.0
239,porfido,0.0
240,porga,0.0
241,porgano,0.0
242,porge,0.0
243,porger,0.0
244,porgermi,0.0
245,porgerà,0.0
246,porgesse,0.0
247,porgessi,0.0
248,porgessino,0.0
249,proccuratori,0.0
250,poppi,0.0
251,poppa,0.0
252,porgli,0.0
253,poponi,0.0
254,pompa,0.0
255,pon,0.0
256,ponderazione,0.0
257,pone,0.0
258,ponendola,0.0
259,ponessi,0.0
260,ponga,0.0
261,ponghino,0.0
262,poni,0.0
263,poniate,0.0
264,ponpa,0.0
265,pont,0.0
266,pontata,0.0
267,ponte,0.0
268,pontefice,0.0
269,pontefici,0.0
270,ponti,0.0
271,pontificale,0.0
272,pontificali,0.0
273,pontificalissima,0.0
274,pontificato,0.0
275,pontificatus,0.0
276,pontificia,0.0
277,pontt,0.0
278,popiano,0.0
279,popolaccio,0.0
280,popoletto,0.0
281,popoli,0.0
282,popolo,0.0
283,porgie,0.0
284,porgo,0.0
285,portò,0.0
286,portata,0.0
287,portateci,0.0
288,portati,0.0
289,portato,0.0
290,portatomi,0.0
291,portator,0.0
292,portava,0.0
293,porte,0.0
294,porteranno,0.0
295,proccurano,0.0
296,porterano,0.0
297,portercole,0.0
298,porterebbano,0.0
299,porterete,0.0
300,portero,0.0
301,porterolle,0.0
302,porterà,0.0
303,porterò,0.0
304,porti,0.0
305,portiano,0.0
306,portiate,0.0
307,porticciuola,0.0
308,porticelle,0.0
309,portico,0.0
310,portiere,0.0
311,porto,0.0
312,portogallo,0.0
313,portogalo,0.0
314,portono,0.0
315,potevano,0.0
316,portate,0.0
317,proccurar,0.0
318,porian,0.0
319,proccurare,0.0
320,porla,0.0
321,porlo,0.0
322,pormi,0.0
323,proccurator,0.0
324,porre,0.0
325,porrei,0.0
326,porse,0.0
327,porsi,0.0
328,porta,0.0
329,portaci,0.0
330,portae,0.0
331,proccuratia,0.0
332,proccurate,0.0
333,portai,0.0
334,portando,0.0
335,portano,0.0
336,portar,0.0
337,portare,0.0
338,portarebbe,0.0
339,portarlo,0.0
340,portarne,0.0
341,portaron,0.0
342,proccurarne,0.0
343,portarono,0.0
344,portarvi,0.0
345,portasi,0.0
346,portasse,0.0
347,portassi,0.0
348,portassino,0.0
349,privarmene,0.0
350,potiate,0.0
351,potevansi,0.0
352,premiato,0.0
353,premio,0.0
354,prencipe,0.0
355,prende,0.0
356,prendersi,0.0
357,prepara,0.0
358,preparamenti,0.0
359,preparamento,0.0
360,preparando,0.0
